TrustCent	TrustProv	TrustLocal	V7B	Peking	year_88_89	year_87_90	year_86_91	year_85_92	year_84_93	year_84_94	Female	marriage	T	start_year	method	Age_Enter_college	V01a	V23	V4a	Education	CCP	GovtJob	Income2	X_c	X2	X3	DX	DX2	DX3	D	method.1	birth_date
0.0	0.0	0.0	3.0	1.0			1.0	1.0	1.0	1.0	0.0	1.0	0.0	1991.0	2.0	16.8333740234375	3.0	2.0	3.0	3.0	1.0	0.0	8.0	4.24813282587752	18.0466325062981	76.6644919465533	0.0	0.0	0.0	0.0	2.0	1973.96473630751
8.0	7.0	3.0	4.0	1.0				1.0	1.0	1.0	0.0	0.0	0.0	1992.0	2.0	17.8333740234375	3.0	1.0	2.0	2.0	1.0	0.0	6.0	4.24813282587752	18.0466325062981	76.6644919465533	0.0	0.0	0.0	0.0	2.0	1975.20991773624
5.0	5.0	5.0	3.0	1.0				1.0	1.0	1.0	1.0	1.0	0.0	1992.0	2.0	17.9166259765625	3.0	2.0	2.0	2.0	0.0	0.0	9.0	4.16488087275252	17.3462326842198	72.2449927208216	0.0	0.0	0.0	0.0	2.0	1975.05160460854
2.0	2.0	2.0	4.0	1.0					1.0	1.0	0.0	1.0	0.0	1993.0	2.0	18.9166259765625	3.0	2.0	2.0	2.0	0.0	0.0	8.0	4.16488087275252	17.3462326842198	72.2449927208216	0.0	0.0	0.0	0.0	2.0	1974.82165743224
8.0	6.0	3.0	5.0	1.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	2.0	17.9166259765625	3.0	2.0	3.0	3.0	1.0	1.0	3.0	4.16488087275252	17.3462326842198	72.2449927208216	0.0	0.0	0.0	0.0	2.0	1975.42833651556
5.0	4.0	2.0	5.0	0.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	4.0	18.0	1.0	2.0	2.0	2.0	0.0	0.0	6.0	4.08150684931502	16.6586981610054	67.9925906448151	0.0	0.0	0.0	0.0	4.0	1975.10532103339
10.0	6.0	2.0	4.0	1.0						1.0	1.0	0.0	0.0	1994.0	2.0	20.0833740234375	3.0	1.0	1.0	1.0	0.0	0.0	3.0	3.99813282587752	15.9850660933594	63.9104174716818	0.0	0.0	0.0	0.0	2.0	1974.21196538955
10.0	9.0	8.0	5.0	0.0					1.0	1.0	0.0	1.0	0.0	1993.0	2.0	19.4166259765625	2.0	2.0	2.0	2.0	1.0	1.0	3.0	3.66488087275252	13.4313518114673	49.2243043490563	0.0	0.0	0.0	0.0	2.0	1974.48086838936
1.0	0.0	0.0	5.0	1.0			1.0	1.0	1.0	1.0	0.0	1.0	0.0	1991.0	2.0	17.5833740234375	2.0	2.0	2.0	2.0	1.0	1.0	3.0	3.49813282587752	12.2369332674818	42.8064179510509	0.0	0.0	0.0	0.0	2.0	1974.95196229126
1.0	1.0	0.0	3.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	0.0	1991.0	2.0	17.9166259765625	3.0	2.0	2.0	2.0	0.0	0.0	8.0	3.16488087275252	10.0164709387147	31.7009372864198	0.0	0.0	0.0	0.0	2.0	1973.12268557074
8.0	1.0	1.0	5.0	1.0				1.0	1.0	1.0	0.0	1.0	0.0	1992.0	2.0	19.0833740234375	3.0	2.0	2.0	2.0	0.0	1.0	9.0	2.99813282587752	8.98880044160432	26.9496176692363	0.0	0.0	0.0	0.0	2.0	1973.58816164359
9.0	7.0	3.0	5.0	1.0			1.0	1.0	1.0	1.0	0.0	1.0	0.0	1991.0	2.0	17.8333740234375	3.0	2.0	3.0	3.0	0.0	1.0	6.0	3.24813282587752	10.5503668545431	34.2689929052915	0.0	0.0	0.0	0.0	2.0	1974.50845224364
0.0	0.0	0.0	3.0	1.0			1.0	1.0	1.0	1.0	0.0	1.0	0.0	1991.0	2.0	17.8333740234375	1.0	2.0	3.0	3.0	0.0	0.0	9.0	3.24813282587752	10.5503668545431	34.2689929052915	0.0	0.0	0.0	0.0	2.0	1973.59410757339
9.0	6.0	2.0	4.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1990.0	4.0	16.9166259765625	2.0	2.0	2.0	2.0	0.0	0.0	6.0	3.16488087275252	10.0164709387147	31.7009372864198	0.0	0.0	0.0	0.0	4.0	1974.08547232253
8.0	7.0	5.0	5.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1990.0	2.0	16.9166259765625	3.0	2.0	2.0	2.0	1.0	0.0	9.0	3.16488087275252	10.0164709387147	31.7009372864198	0.0	0.0	0.0	0.0	2.0	1973.55269954633
